#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-busy-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0011375 seconds
Distributing the actor graph took: 2.17529 seconds
Added actors in: 0.234098 seconds.
Initialized connections of actors in: 0.0113409 seconds.
Async Migration only
Output number: 1, Rank-45: (1) 38 | (2) 850 | (3)4.47059/100 | (4) 67, 67 | (5) 108.156 | (6) 31.3335 | (7) 2.3605e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (67, 67) | (18) X | (19) (32875, 32875) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2193.58 | (25) (33.3753, 45-68) | (26) 28114
Output number: 1, Rank-47: (1) 63 | (2) 992 | (3)6.35081/100 | (4) 82, 82 | (5) 118.289 | (6) 25.9357 | (7) 5.7041e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 80/100 | (15) 0 | (17) (82, 82) | (18) X | (19) (33141, 33141) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2914.62 | (25) (42.2377, 42-55) | (26) 66924
Output number: 1, Rank-48: (1) 67 | (2) 977 | (3)6.85773/100 | (4) 80, 80 | (5) 110.993 | (6) 28.972 | (7) 1.5572e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (33688, 33688) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2619.92 | (25) (33.3526, 30-62) | (26) 41758
Output number: 1, Rank-50: (1) 60 | (2) 794 | (3)7.55668/100 | (4) 69, 69 | (5) 113.934 | (6) 29.3328 | (7) 3.2294e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 79.4444/100 | (15) 0 | (17) (69, 69) | (18) X | (19) (34166, 34166) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2295.7 | (25) (34.033, 64-44) | (26) 3037
Output number: 1, Rank-52: (1) 101 | (2) 903 | (3)11.1849/100 | (4) 100, 100 | (5) 118.228 | (6) 24.9689 | (7) 8.589e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 79.4444/100 | (15) 0 | (17) (100, 100) | (18) X | (19) (35900, 35900) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3271.9 | (25) (33.4276, 24-54) | (26) 92601
Output number: 1, Rank-54: (1) 98 | (2) 950 | (3)10.3158/100 | (4) 92, 92 | (5) 118.752 | (6) 25.6782 | (7) 4.1094e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 80/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (36129, 36129) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3001.2 | (25) (33.386, 47-52) | (26) 18796
Output number: 1, Rank-55: (1) 85 | (2) 904 | (3)9.40265/100 | (4) 95, 95 | (5) 117.647 | (6) 25.589 | (7) 7.7225e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 79.4444/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (35362, 35362) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3141.53 | (25) (33.9884, 50-46) | (26) 416937
Output number: 1, Rank-30: (1) 77 | (2) 1222 | (3)6.30115/100 | (4) 132, 132 | (5) 116.302 | (6) 24.8633 | (7) 9.1515e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (132, 132) | (18) X | (19) (35056, 35056) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4338.76 | (25) (33.4972, 15-33) | (26) 13180
Output number: 1, Rank-31: (1) 62 | (2) 998 | (3)6.21242/100 | (4) 85, 85 | (5) 104.176 | (6) 31.1114 | (7) 1.0535e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (31681, 31681) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2777.6 | (25) (33.314, 7-49) | (26) 241105
Output number: 1, Rank-49: (1) 90 | (2) 892 | (3)10.0897/100 | (4) 102, 102 | (5) 126.426 | (6) 21.6354 | (7) 5.659e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 82.2222/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (38595, 38595) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 3315.71 | (25) (33.2409, 53-54) | (26) 1
Output number: 1, Rank-51: (1) 78 | (2) 880 | (3)8.86364/100 | (4) 109, 109 | (5) 125.366 | (6) 21.9871 | (7) 9.8383e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 81.6667/100 | (15) 0 | (17) (109, 109) | (18) X | (19) (37926, 37926) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3577.53 | (25) (33.705, 55-50) | (26) 1
Output number: 1, Rank-53: (1) 87 | (2) 1056 | (3)8.23864/100 | (4) 101, 101 | (5) 117.299 | (6) 26.9148 | (7) 3.3834e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 80/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (35577, 35577) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3310.43 | (25) (33.7011, 31-43) | (26) 1
Output number: 1, Rank-46: (1) 47 | (2) 813 | (3)5.78106/100 | (4) 95, 95 | (5) 124.824 | (6) 22.7845 | (7) 1.7717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 81.6667/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (37473, 37473) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 3147.46 | (25) (33.8643, 50-66) | (26) 1
