#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00380244 seconds
Distributing the actor graph took: 2.24402 seconds
Added actors in: 0.0623274 seconds.
Initialized connections of actors in: 0.0118095 seconds.
Async Migration only
Output number: 1, Rank-64: (1) 78 | (2) 1404 | (3)5.55556/100 | (4) 25, 25 | (5) 164.783 | (6) 7.41341 | (7) 0.000101746 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95.5556/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49299, 49299) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 836.164
Output number: 1, Rank-177: (1) 62 | (2) 1457 | (3)4.25532/100 | (4) 27, 27 | (5) 160.145 | (6) 9.40906 | (7) 0.000110739 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.8889/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (48092, 48092) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 894.879
Output number: 1, Rank-148: (1) 75 | (2) 1395 | (3)5.37634/100 | (4) 27, 27 | (5) 164.686 | (6) 7.42718 | (7) 3.1946e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (49789, 49789) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 891.461
Output number: 1, Rank-222: (1) 61 | (2) 1422 | (3)4.28973/100 | (4) 26, 26 | (5) 163.396 | (6) 7.93334 | (7) 7.8001e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (49073, 49073) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 862.945
Output number: 1, Rank-87: (1) 68 | (2) 1428 | (3)4.7619/100 | (4) 25, 25 | (5) 164.103 | (6) 7.83446 | (7) 2.5215e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49824, 49824) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 825.436
Output number: 1, Rank-56: (1) 73 | (2) 1432 | (3)5.09777/100 | (4) 24, 24 | (5) 162.181 | (6) 8.38613 | (7) 0.000109729 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 94.4444/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (48605, 48605) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 800.173
Output number: 1, Rank-179: (1) 59 | (2) 1461 | (3)4.03833/100 | (4) 26, 26 | (5) 163.301 | (6) 8.04518 | (7) 5.9606e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (49415, 49415) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 859.138
Output number: 1, Rank-163: (1) 73 | (2) 1446 | (3)5.04841/100 | (4) 26, 26 | (5) 161.128 | (6) 8.99416 | (7) 1.7219e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 94.4444/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (48701, 48701) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 859.591
Output number: 1, Rank-199: (1) 59 | (2) 1462 | (3)4.03557/100 | (4) 25, 25 | (5) 162.344 | (6) 8.47026 | (7) 0.000129222 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (49036, 49036) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 832.213
Output number: 1, Rank-35: (1) 78 | (2) 1429 | (3)5.45836/100 | (4) 28, 28 | (5) 164.83 | (6) 7.34163 | (7) 3.5414e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95.5556/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (49910, 49910) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 924.845
Output number: 1, Rank-113: (1) 54 | (2) 1455 | (3)3.71134/100 | (4) 27, 27 | (5) 161.294 | (6) 8.92127 | (7) 4.5712e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (48782, 48782) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 892.567
Output number: 1, Rank-25: (1) 61 | (2) 1095 | (3)5.57078/100 | (4) 8, 8 | (5) 97.9055 | (6) 3.11787 | (7) 4.9664e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 56.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (28863, 28863) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 334.862
Output number: 1, Rank-37: (1) 75 | (2) 1449 | (3)5.17598/100 | (4) 27, 27 | (5) 162.628 | (6) 8.38752 | (7) 8.4733e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (49522, 49522) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 886.353
