#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00271909 seconds
Distributing the actor graph took: 2.1697 seconds
Added actors in: 0.152963 seconds.
Initialized connections of actors in: 0.0116489 seconds.
Async Migration only
Output number: 1, Rank-22: (1) 3 | (2) 1064 | (3)0.281955/100 | (4) 48, 48 | (5) 177.352 | (6) 1.18781 | (7) 0.000125888 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 98.8889/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (53918, 53918) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 1581.31 | (25) (36.196, 66-42) | (26) 1 | (27) 463.584
Output number: 1, Rank-23: (1) 4 | (2) 1283 | (3)0.311769/100 | (4) 47, 47 | (5) 174.265 | (6) 2.5397 | (7) 5.9358e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52972, 52972) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1546.3 | (25) (33.4681, 65-47) | (26) 1 | (27) 131.096
Output number: 1, Rank-25: (1) 1 | (2) 1470 | (3)0.0680272/100 | (4) 46, 46 | (5) 174.839 | (6) 2.13766 | (7) 9.1557e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (52956, 52956) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1514.66 | (25) (33.3355, 53-44) | (26) 1 | (27) 32.1999
Output number: 1, Rank-26: (1) 9 | (2) 1313 | (3)0.685453/100 | (4) 46, 46 | (5) 176.961 | (6) 1.3521 | (7) 0.000139644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 98.8889/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (53161, 53161) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1529.9 | (25) (33.7717, 60-54) | (26) 1 | (27) 132.253
Output number: 1, Rank-46: (1) 0 | (2) 1277 | (3)0/100 | (4) 46, 46 | (5) 176.969 | (6) 1.18273 | (7) 6.2091e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.8889/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (53331, 53331) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 1525.18 | (25) (33.9066, 8-70) | (26) 1 | (27) 165.353
Output number: 1, Rank-101: (1) 5 | (2) 1499 | (3)0.333556/100 | (4) 45, 45 | (5) 173.365 | (6) 2.89813 | (7) 0.000106419 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51798, 51798) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 1498.78 | (25) (34.0579, 33-21) | (26) 1 | (27) 165.666
Output number: 1, Rank-78: (1) 3 | (2) 1321 | (3)0.227101/100 | (4) 47, 47 | (5) 177.321 | (6) 1.11644 | (7) 0.000115834 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53754, 53754) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1546.75 | (25) (33.744, 50-8) | (26) 1 | (27) 32.1105
Output number: 1, Rank-84: (1) 11 | (2) 1296 | (3)0.848765/100 | (4) 47, 47 | (5) 175.681 | (6) 1.98691 | (7) 0.000117773 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.3333/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52836, 52836) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1545.77 | (25) (33.6289, 7-14) | (26) 1 | (27) 130.24
Output number: 1, Rank-74: (1) 8 | (2) 1203 | (3)0.665004/100 | (4) 48, 48 | (5) 178.528 | (6) 0.658881 | (7) 8.9617e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (54019, 54019) | (20) 1 | (21) 0 | (22) 0 | (23) 18 | (24) 1580.06 | (25) (33.716, 68-9) | (26) 1 | (27) 590.795
Output number: 1, Rank-48: (1) 2 | (2) 1474 | (3)0.135685/100 | (4) 46, 46 | (5) 173.693 | (6) 2.7258 | (7) 3.6109e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (52793, 52793) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 1510.62 | (25) (33.5063, 14-65) | (26) 1 | (27) 163.554
Output number: 1, Rank-110: (1) 6 | (2) 1170 | (3)0.512821/100 | (4) 47, 47 | (5) 178.327 | (6) 0.754359 | (7) 0.000108684 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53600, 53600) | (20) 1 | (21) 1 | (22) 0 | (23) 25 | (24) 1563.1 | (25) (34.0253, 0-29) | (26) 1 | (27) 830.708
Output number: 1, Rank-76: (1) 2 | (2) 1469 | (3)0.136147/100 | (4) 45, 45 | (5) 170.8 | (6) 4.06569 | (7) 0.000111133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51855, 51855) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1478.81 | (25) (33.345, 54-12) | (26) 1 | (27) 97.5121
Output number: 1, Rank-43: (1) 5 | (2) 1300 | (3)0.384615/100 | (4) 48, 48 | (5) 175.592 | (6) 1.94113 | (7) 1.6789e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (53466, 53466) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 1573.09 | (25) (33.263, 4-57) | (26) 1 | (27) 425.415
