#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-offload-local-single-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00163153 seconds
Distributing the actor graph took: 2.22721 seconds
Added actors in: 0.146208 seconds.
Initialized connections of actors in: 0.0116424 seconds.
Output number: 1, Rank-58: (1) 45 | (2) 45 | (3)100/100 | (4) 48, 48 | (5) 138.287 | (6) 17.4775 | (7) 6.9486e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 86.1111/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (41953, 41953) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1581.08
Output number: 1, Rank-45: (1) 47 | (2) 47 | (3)100/100 | (4) 48, 48 | (5) 132.408 | (6) 19.5412 | (7) 0.000141536 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 83.8889/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (40414, 40414) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 1565.99
Output number: 1, Rank-3: (1) 87 | (2) 87 | (3)100/100 | (4) 19, 19 | (5) 99.1068 | (6) 1.55507 | (7) 5.8659e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 55.5556/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (29031, 29031) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 800.761
Output number: 1, Rank-104: (1) 22 | (2) 22 | (3)100/100 | (4) 44, 44 | (5) 132.169 | (6) 19.9189 | (7) 6.3669e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (39759, 39759) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1460.63
Output number: 1, Rank-76: (1) 53 | (2) 53 | (3)100/100 | (4) 53, 53 | (5) 145.051 | (6) 14.3297 | (7) 0.000111536 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 88.3333/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (44036, 44036) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1753.22
Output number: 1, Rank-43: (1) 40 | (2) 40 | (3)100/100 | (4) 59, 59 | (5) 146.723 | (6) 13.5779 | (7) 5.2286e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 88.8889/100 | (15) 0 | (17) (59, 59) | (18) X | (19) (44542, 44542) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1943.1
Output number: 1, Rank-106: (1) 41 | (2) 41 | (3)100/100 | (4) 42, 42 | (5) 131.038 | (6) 20.6473 | (7) 7.3477e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.8889/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (39856, 39856) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1377.41
Output number: 1, Rank-71: (1) 65 | (2) 65 | (3)100/100 | (4) 49, 49 | (5) 142.673 | (6) 15.24 | (7) 4.3102e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 87.2222/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (43112, 43112) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1618.8
Output number: 1, Rank-47: (1) 32 | (2) 32 | (3)100/100 | (4) 57, 57 | (5) 145.177 | (6) 14.3499 | (7) 9.1925e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 88.3333/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (43673, 43673) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1896.53
Output number: 1, Rank-85: (1) 44 | (2) 44 | (3)100/100 | (4) 49, 49 | (5) 141.191 | (6) 16.1507 | (7) 0.000127243 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 87.2222/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (42890, 42890) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1609.62
