#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-static-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00172205 seconds
Distributing the actor graph took: 40.9896 seconds
Added actors in: 0.466346 seconds.
Initialized connections of actors in: 0.0459279 seconds.
No Migration
Output number: 1, Rank-74: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 2.57957 | (6) 73.1809 | (7) 0.000123454 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (65200, 65200) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.0291
Output number: 1, Rank-28: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 26.9464 | (6) 63.8659 | (7) 0.000126064 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (65497, 65497) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 812.074
Output number: 1, Rank-110: (1) 0 | (2) 0 | (3)0/100 | (4) 186, 186 | (5) 2.65696 | (6) 72.8973 | (7) 0.00025788 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (68300, 68300) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.5155
Output number: 1, Rank-75: (1) 0 | (2) 0 | (3)0/100 | (4) 184, 184 | (5) 2.57212 | (6) 70.8104 | (7) 0.000238736 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (64518, 64518) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.3122
Output number: 1, Rank-30: (1) 0 | (2) 0 | (3)0/100 | (4) 183, 183 | (5) 9.03961 | (6) 72.2585 | (7) 5.8371e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (65871, 65871) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 305.632
Output number: 1, Rank-84: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 2.45397 | (6) 69.8707 | (7) 0.000236474 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (62187, 62187) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9131
Output number: 1, Rank-76: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 2.51785 | (6) 69.4829 | (7) 0.000142784 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (65975, 65975) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.0067
Output number: 1, Rank-31: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 2.6492 | (6) 75.559 | (7) 7.3223e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (64453, 64453) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.2464
Output number: 1, Rank-108: (1) 0 | (2) 0 | (3)0/100 | (4) 187, 187 | (5) 2.69875 | (6) 76.0753 | (7) 0.000227857 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.3333/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (67987, 67987) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.9988
Output number: 1, Rank-77: (1) 0 | (2) 0 | (3)0/100 | (4) 184, 184 | (5) 2.70541 | (6) 79.0013 | (7) 0.00015654 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (70467, 70467) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.9864
Output number: 1, Rank-32: (1) 0 | (2) 0 | (3)0/100 | (4) 179, 179 | (5) 2.53401 | (6) 75.0483 | (7) 0.000129643 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (65283, 65283) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.904
Output number: 1, Rank-109: (1) 0 | (2) 0 | (3)0/100 | (4) 187, 187 | (5) 2.74992 | (6) 74.4509 | (7) 3.4117e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (67865, 67865) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.4572
Output number: 1, Rank-78: (1) 0 | (2) 0 | (3)0/100 | (4) 179, 179 | (5) 2.51427 | (6) 74.7388 | (7) 0.000111682 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (179, 179) | (18) X | (19) (64632, 64632) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.7355
Output number: 1, Rank-34: (1) 0 | (2) 0 | (3)0/100 | (4) 188, 188 | (5) 2.62172 | (6) 70.6427 | (7) 7.058e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (68862, 68862) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.0746
Output number: 1, Rank-111: (1) 0 | (2) 0 | (3)0/100 | (4) 188, 188 | (5) 2.68262 | (6) 73.3614 | (7) 0.00010391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.2222/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (66729, 66729) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.4477
