#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00108694 seconds
Distributing the actor graph took: 2.07162 seconds
Added actors in: 0.28756 seconds.
Initialized connections of actors in: 0.0118244 seconds.
Async Migration only
Output number: 1, Rank-29: (1) 6 | (2) 1097 | (3)0.546946/100 | (4) 96, 96 | (5) 178.621 | (6) 0.515551 | (7) 7.126e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (96, 96) | (18) X | (19) (54213, 54213) | (20) 1 | (21) 0 | (22) 0 | (23) 26 | (24) 3154.64 | (25) (33.7178, 11-39) | (26) 1
Output number: 1, Rank-52: (1) 1 | (2) 967 | (3)0.103413/100 | (4) 93, 93 | (5) 178.98 | (6) 0.414576 | (7) 5.639e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (54546, 54546) | (20) 1 | (21) 1 | (22) 0 | (23) 36 | (24) 3038.65 | (25) (33.2534, 32-52) | (26) 1
Output number: 1, Rank-54: (1) 3 | (2) 1218 | (3)0.246305/100 | (4) 92, 92 | (5) 177.264 | (6) 1.02896 | (7) 7.5051e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (53762, 53762) | (20) 1 | (21) 1 | (22) 0 | (23) 8 | (24) 3025.35 | (25) (33.7385, 55-52) | (26) 1
Output number: 1, Rank-45: (1) 1 | (2) 739 | (3)0.135318/100 | (4) 90, 90 | (5) 177.506 | (6) 1.00425 | (7) 6.9751e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (53353, 53353) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2988.19 | (25) (33.536, 45-70) | (26) 1
Output number: 1, Rank-53: (1) 3 | (2) 555 | (3)0.540541/100 | (4) 93, 93 | (5) 179.516 | (6) 0.283576 | (7) 0.000122305 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (54289, 54289) | (20) 1 | (21) 0 | (22) 0 | (23) 69 | (24) 3069.91 | (25) (33.4348, 41-39) | (26) 1
Output number: 1, Rank-38: (1) 4 | (2) 687 | (3)0.582242/100 | (4) 96, 96 | (5) 179.458 | (6) 0.239487 | (7) 0.000110765 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (96, 96) | (18) X | (19) (54355, 54355) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 3165.24 | (25) (33.6795, 16-64) | (26) 1
Output number: 1, Rank-43: (1) 1 | (2) 535 | (3)0.186916/100 | (4) 87, 87 | (5) 179.557 | (6) 0.210163 | (7) 5.0977e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (87, 87) | (18) X | (19) (50913, 50913) | (20) 1 | (21) 1 | (22) 0 | (23) 80 | (24) 3064.01 | (25) (35.5348, 70-61) | (26) 1
Output number: 1, Rank-39: (1) 3 | (2) 592 | (3)0.506757/100 | (4) 92, 92 | (5) 179.451 | (6) 0.213137 | (7) 3.1208e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (52252, 52252) | (20) 1 | (21) 0 | (22) 0 | (23) 24 | (24) 3150.58 | (25) (34.9062, 6-64) | (26) 1
Output number: 1, Rank-37: (1) 0 | (2) 759 | (3)0/100 | (4) 92, 92 | (5) 178.252 | (6) 0.715101 | (7) 6.172e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.8889/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (54293, 54293) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3014.2 | (25) (33.5264, 35-69) | (26) 1
Output number: 1, Rank-44: (1) 8 | (2) 1460 | (3)0.547945/100 | (4) 95, 95 | (5) 176.722 | (6) 1.10927 | (7) 4.257e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.3333/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (53616, 53616) | (20) 1 | (21) 0 | (22) 0 | (23) 16 | (24) 3126.06 | (25) (33.5849, 57-63) | (26) 1
