#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0186967 seconds
Distributing the actor graph took: 2.41308 seconds
Added actors in: 0.0653138 seconds.
Initialized connections of actors in: 0.0115548 seconds.
Async Migration only
Output number: 1, Rank-540: (1) 0 | (2) 1691 | (3)0/100 | (4) 6, 6 | (5) 98.9184 | (6) 36.7807 | (7) 5.8462e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27554, 27554) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 214.644
Output number: 1, Rank-175: (1) 0 | (2) 1702 | (3)0/100 | (4) 6, 6 | (5) 90.8327 | (6) 41.7664 | (7) 5.597e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27675, 27675) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.148
Output number: 1, Rank-763: (1) 0 | (2) 1729 | (3)0/100 | (4) 5, 5 | (5) 76.2991 | (6) 51.081 | (7) 6.1188e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23081, 23081) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.772
Output number: 1, Rank-835: (1) 0 | (2) 1707 | (3)0/100 | (4) 5, 5 | (5) 76.0681 | (6) 51.173 | (7) 4.215e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23059, 23059) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.252
Output number: 1, Rank-865: (1) 0 | (2) 1705 | (3)0/100 | (4) 6, 6 | (5) 92.8793 | (6) 40.448 | (7) 0.000140739 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27883, 27883) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.822
Output number: 1, Rank-460: (1) 0 | (2) 1703 | (3)0/100 | (4) 6, 6 | (5) 91.8308 | (6) 40.5251 | (7) 8.6296e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27615, 27615) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.278
Output number: 1, Rank-12: (1) 0 | (2) 1604 | (3)0/100 | (4) 6, 6 | (5) 93.6117 | (6) 6.0333 | (7) 9.7985e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27545, 27545) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 245.495
Output number: 1, Rank-13: (1) 0 | (2) 1584 | (3)0/100 | (4) 6, 6 | (5) 93.1362 | (6) 7.00601 | (7) 0.000104866 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27523, 27523) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 244.778
Output number: 1, Rank-17: (1) 0 | (2) 1624 | (3)0/100 | (4) 5, 5 | (5) 77.701 | (6) 21.2214 | (7) 0.000143062 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 54.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22918, 22918) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.34
Output number: 1, Rank-20: (1) 0 | (2) 1606 | (3)0/100 | (4) 6, 6 | (5) 93.0187 | (6) 6.6889 | (7) 0.000135134 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27504, 27504) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 244.3
