#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-offload-local-single-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.153065 seconds
Distributing the actor graph took: 2.40037 seconds
Added actors in: 0.0458284 seconds.
Initialized connections of actors in: 0.0114758 seconds.
Rank-297: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 127.403 | (6) 16.3511 | (7) 0.000113984 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 87.7301/100| (15)0 | (16) 1
Rank-358: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 143.972 | (6) 8.7361 | (7) 0.000147223 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.2515/100| (15)0 | (16) 1
Rank-374: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 151.825 | (6) 5.08725 | (7) 0.000141579 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 95.7055/100| (15)0 | (16) 1
Rank-131: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 142.275 | (6) 9.60348 | (7) 0.000151434 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 92.638/100| (15)0 | (16) 1
Rank-421: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 141.865 | (6) 9.55448 | (7) 8.1748e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 92.638/100| (15)0 | (16) 1
Rank-54: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.428 | (6) 7.99772 | (7) 8.504e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-587: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 149.895 | (6) 6.21726 | (7) 0.000111533 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 95.7055/100| (15)0 | (16) 1
Rank-251: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 136.821 | (6) 11.9641 | (7) 0.000111156 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 90.7975/100| (15)0 | (16) 1
Rank-84: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 135.817 | (6) 12.6338 | (7) 0.000143065 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 90.7975/100| (15)0 | (16) 1
Rank-75: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 128.05 | (6) 16.251 | (7) 7.1949e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-145: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 143.642 | (6) 9.14191 | (7) 8.3723e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.2515/100| (15)0 | (16) 1
Rank-590: (1) 2 | (2) 2 | (3)100/100 | (4) 8 | (5) 127.617 | (6) 16.7052 | (7) 0.00014909 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 88.3436/100| (15)0 | (16) 1
Rank-449: (1) 2 | (2) 2 | (3)100/100 | (4) 8 | (5) 148.755 | (6) 6.49516 | (7) 3.7875e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 95.092/100| (15)0 | (16) 1
