#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000941166 seconds
Distributing the actor graph took: 2.14268 seconds
Added actors in: 0.444192 seconds.
Initialized connections of actors in: 0.0117432 seconds.
Async Migration only
Output number: 2, Rank-19: (1) 30 | (2) 2719 | (3)1.10335/100 | (4) 203, 203 | (5) 210.13 | (6) 50.3102 | (7) 9.8847e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 72.2222/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (63363, 25209) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6689.65
Output number: 2, Rank-16: (1) 15 | (2) 2644 | (3)0.567322/100 | (4) 193, 193 | (5) 211.832 | (6) 53.9808 | (7) 8.3653e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 73.6111/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (63952, 24594) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6321.86
Output number: 2, Rank-24: (1) 20 | (2) 2842 | (3)0.70373/100 | (4) 194, 194 | (5) 180.818 | (6) 64.5705 | (7) 1.649e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 68.0556/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (54630, 22566) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6363.78
Output number: 2, Rank-21: (1) 2 | (2) 2809 | (3)0.0711997/100 | (4) 188, 188 | (5) 190.261 | (6) 56.9934 | (7) 2.2945e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 68.6111/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (57761, 21051) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 6157.53
Output number: 2, Rank-23: (1) 50 | (2) 2937 | (3)1.70242/100 | (4) 220, 220 | (5) 204.657 | (6) 53.6412 | (7) 3.5085e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 71.6667/100 | (15) 0 | (17) (220, 220) | (18) X | (19) (62111, 24705) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 7214.97
Output number: 2, Rank-15: (1) 6 | (2) 2443 | (3)0.2456/100 | (4) 194, 194 | (5) 221.308 | (6) 48.1057 | (7) 4.7037e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 74.7222/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (67274, 24884) | (20) 0 | (21) 1 | (22) 0 | (23) 5 | (24) 6361.23
Output number: 2, Rank-22: (1) 42 | (2) 2972 | (3)1.41319/100 | (4) 227, 227 | (5) 213.787 | (6) 51.1345 | (7) 3.3115e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 73.3333/100 | (15) 0 | (17) (227, 227) | (18) X | (19) (64962, 25518) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 7431.53
Output number: 2, Rank-0: (1) 20 | (2) 928 | (3)2.15517/100 | (4) 133, 133 | (5) 158.321 | (6) 4.73196 | (7) 0.000112663 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 45.2778/100 | (15) 0 | (17) (133, 133) | (18) X | (19) (45588, 16314) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5482.67
Output number: 2, Rank-1: (1) 23 | (2) 508 | (3)4.52756/100 | (4) 111, 111 | (5) 159.206 | (6) 2.68409 | (7) 4.0606e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 44.7222/100 | (15) 0 | (17) (111, 111) | (18) X | (19) (46313, 17350) | (20) 1 | (21) 1 | (22) 0 | (23) 20 | (24) 4829.35
Output number: 2, Rank-11: (1) 5 | (2) 2590 | (3)0.19305/100 | (4) 191, 191 | (5) 206.88 | (6) 53.0151 | (7) 2.7555e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 71.9444/100 | (15) 0 | (17) (191, 191) | (18) X | (19) (62534, 24366) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 6292.86
