#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-busy-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00256858 seconds
Distributing the actor graph took: 2.25966 seconds
Added actors in: 0.117687 seconds.
Initialized connections of actors in: 0.0112851 seconds.
Async Migration only
Output number: 1, Rank-57: (1) 83 | (2) 910 | (3)9.12088/100 | (4) 48, 48 | (5) 124.324 | (6) 24.994 | (7) 0.000104974 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 82.7778/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (37360, 37360) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1593.36 | (25) (33.8005, 68-23) | (26) 11755 | (27) -0.47861
Output number: 1, Rank-101: (1) 96 | (2) 1030 | (3)9.32039/100 | (4) 53, 53 | (5) 128.547 | (6) 23.4445 | (7) 1.52e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.8889/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (38590, 38590) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1762.9 | (25) (34.0105, 34-21) | (26) 16411 | (27) -0.73835
Output number: 1, Rank-58: (1) 80 | (2) 1067 | (3)7.49766/100 | (4) 43, 43 | (5) 119.554 | (6) 27.8015 | (7) 6.8726e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.6667/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (35968, 35968) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1426.22 | (25) (33.7276, 71-16) | (26) 15494 | (27) -0.92622
Output number: 1, Rank-50: (1) 154 | (2) 1239 | (3)12.4294/100 | (4) 62, 62 | (5) 135.691 | (6) 20.0041 | (7) 2.4699e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (61, 61) | (18) X | (19) (38428, 38428) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 2152.22 | (25) (42.8618, 37-64) | (26) 9805 | (27) -0.79217
Output number: 1, Rank-35: (1) 87 | (2) 1107 | (3)7.85908/100 | (4) 48, 48 | (5) 116.126 | (6) 29.2377 | (7) 0.000146498 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 80.5556/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (35200, 35200) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1587.57 | (25) (39.2744, 11-41) | (26) 1 | (27) 65.0664
Output number: 1, Rank-94: (1) 132 | (2) 1156 | (3)11.4187/100 | (4) 45, 45 | (5) 127.326 | (6) 25.0831 | (7) 4.3043e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (38871, 38871) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1482.45 | (25) (34.5496, 25-11) | (26) 1 | (27) 98.0512
Output number: 1, Rank-61: (1) 87 | (2) 1173 | (3)7.41688/100 | (4) 40, 40 | (5) 109.341 | (6) 32.2782 | (7) 4.9651e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (33146, 33146) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1317.02 | (25) (33.6616, 38-17) | (26) 6342 | (27) -1.33193
Output number: 1, Rank-29: (1) 135 | (2) 1291 | (3)10.457/100 | (4) 50, 50 | (5) 123.285 | (6) 26.1536 | (7) 0.00010504 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 82.7778/100 | (15) 0 | (17) (50, 50) | (18) X | (19) (37410, 37410) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1645.25 | (25) (33.6566, 27-45) | (26) 1 | (27) 31.5579
Output number: 1, Rank-98: (1) 121 | (2) 1241 | (3)9.7502/100 | (4) 55, 55 | (5) 128.548 | (6) 23.5519 | (7) 7.2991e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (39011, 39011) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1810.83 | (25) (33.8674, 33-35) | (26) 1 | (27) 97.6642
Output number: 1, Rank-62: (1) 98 | (2) 1129 | (3)8.68025/100 | (4) 41, 41 | (5) 109.669 | (6) 33.316 | (7) 0.000138337 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (33351, 33351) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1344.14 | (25) (33.5252, 44-20) | (26) 21941 | (27) -0.35637
Output number: 1, Rank-42: (1) 91 | (2) 984 | (3)9.24797/100 | (4) 41, 41 | (5) 109.833 | (6) 31.5233 | (7) 9.486e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 78.3333/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (32968, 32968) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1363.57 | (25) (33.9837, 14-61) | (26) 1 | (27) 32.3193
Output number: 1, Rank-108: (1) 126 | (2) 1228 | (3)10.2606/100 | (4) 45, 45 | (5) 120.684 | (6) 26.854 | (7) 0.000143045 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 81.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (36651, 36651) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1478.28 | (25) (33.47, 7-24) | (26) 1 | (27) 64.8278
Output number: 1, Rank-63: (1) 94 | (2) 1348 | (3)6.97329/100 | (4) 55, 55 | (5) 118.677 | (6) 28.9049 | (7) 5.4334e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.6667/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (36047, 36047) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1804.52 | (25) (33.2254, 49-34) | (26) 9 | (27) -0.42399
Output number: 1, Rank-52: (1) 153 | (2) 1298 | (3)11.7874/100 | (4) 69, 69 | (5) 131.621 | (6) 21.3641 | (7) 9.352e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 84.4444/100 | (15) 0 | (17) (69, 69) | (18) X | (19) (39562, 39562) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2294.08 | (25) (35.3115, 30-52) | (26) 1 | (27) 98.4227
Output number: 1, Rank-85: (1) 123 | (2) 990 | (3)12.4242/100 | (4) 48, 48 | (5) 125.513 | (6) 25.4596 | (7) 0.00012423 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 83.3333/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (38193, 38193) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1574.76 | (25) (33.4758, 3-16) | (26) 1 | (27) -9.57557
Output number: 1, Rank-72: (1) 89 | (2) 933 | (3)9.53912/100 | (4) 45, 45 | (5) 119.307 | (6) 28.1449 | (7) 0.000157892 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (35852, 35852) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1495.24 | (25) (34.2007, 56-0) | (26) 8781 | (27) -0.59051
Output number: 1, Rank-45: (1) 100 | (2) 924 | (3)10.8225/100 | (4) 43, 43 | (5) 112.191 | (6) 30.4332 | (7) 7.2613e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 78.8889/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (33692, 33692) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1430.54 | (25) (33.6459, 2-59) | (26) 1 | (27) -0.8258
Output number: 1, Rank-87: (1) 147 | (2) 875 | (3)16.8/100 | (4) 46, 46 | (5) 129.509 | (6) 22.9521 | (7) 5.9837e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (38960, 38960) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1528.33 | (25) (33.852, 12-9) | (26) 1 | (27) 87.6924
