#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000847394 seconds
Distributing the actor graph took: 41.7045 seconds
Added actors in: 1.75164 seconds.
Initialized connections of actors in: 0.049009 seconds.
Output number: 2, Rank-24: (1) 78 | (2) 78 | (3)100/100 | (4) 937, 937 | (5) 102.347 | (6) 62.6388 | (7) 5.8381e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 45.5556/100 | (15) 0 | (17) (937, 937) | (18) X | (19) (512199, 261848) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1687
Output number: 2, Rank-4: (1) 16 | (2) 16 | (3)100/100 | (4) 808, 808 | (5) 88.7206 | (6) 74.7797 | (7) 0.000164654 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 45.2778/100 | (15) 0 | (17) (808, 808) | (18) X | (19) (430146, 221128) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1668.31
Output number: 2, Rank-17: (1) 28 | (2) 28 | (3)100/100 | (4) 982, 982 | (5) 82.7538 | (6) 68.2516 | (7) 0.000170317 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 41.9444/100 | (15) 0 | (17) (982, 982) | (18) X | (19) (483415, 268094) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1793.71
Output number: 2, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 794, 794 | (5) 38.0873 | (6) 89.5461 | (7) 7.6773e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 35.2778/100 | (15) 0 | (17) (794, 794) | (18) X | (19) (394274, 216210) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1050.79
Output number: 2, Rank-5: (1) 67 | (2) 67 | (3)100/100 | (4) 878, 878 | (5) 85.94 | (6) 68.0513 | (7) 5.4941e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 42.5/100 | (15) 0 | (17) (878, 878) | (18) X | (19) (479269, 239790) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1560.34
Output number: 2, Rank-27: (1) 88 | (2) 88 | (3)100/100 | (4) 945, 945 | (5) 103.066 | (6) 62.6066 | (7) 6.557e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 45.8333/100 | (15) 0 | (17) (945, 945) | (18) X | (19) (516609, 264812) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1679.28
Output number: 2, Rank-11: (1) 0 | (2) 0 | (3)0/100 | (4) 870, 870 | (5) 75.1333 | (6) 75.9903 | (7) 4.5295e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 41.9444/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (443796, 237841) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1504.12
Output number: 2, Rank-26: (1) 0 | (2) 0 | (3)0/100 | (4) 871, 871 | (5) 49.6129 | (6) 92.1957 | (7) 3.8332e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 39.1667/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (404083, 228219) | (20) 1 | (21) 0 | (22) 0 | (23) 17 | (24) 1789.13
Output number: 2, Rank-10: (1) 615 | (2) 615 | (3)100/100 | (4) 144, 144 | (5) 123.178 | (6) 80.5899 | (7) 2.6234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 56.3889/100 | (15) 0 | (17) (144, 144) | (18) X | (19) (116577, 39431) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1707.94
Output number: 2, Rank-13: (1) 6 | (2) 6 | (3)100/100 | (4) 902, 902 | (5) 72.0284 | (6) 70.8936 | (7) 0.000115242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 39.4444/100 | (15) 0 | (17) (902, 902) | (18) X | (19) (466197, 247135) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1527.43
