#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.296193 seconds
Distributing the actor graph took: 2.47977 seconds
Added actors in: 0.0491729 seconds.
Initialized connections of actors in: 0.0177695 seconds.
Async Migration only
Rank-648: (1) 14 | (2) 1616 | (3)0.866337/100 | (4) 7 | (5) 103.768 | (6) 32.8721 | (7) 0.000107946 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 79.0698/100| (15)0 | (16) 1
Rank-588: (1) 17 | (2) 1593 | (3)1.06717/100 | (4) 6 | (5) 124.414 | (6) 21.7247 | (7) 0.000147985 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 84.8837/100| (15)0 | (16) 1
Rank-711: (1) 16 | (2) 1610 | (3)0.993789/100 | (4) 8 | (5) 110.386 | (6) 28.0878 | (7) 7.5589e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 80.2326/100| (15)0 | (16) 1
Rank-436: (1) 19 | (2) 1597 | (3)1.18973/100 | (4) 6 | (5) 110.355 | (6) 28.581 | (7) 0.000101012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.2326/100| (15)0 | (16) 1
Rank-850: (1) 11 | (2) 1610 | (3)0.68323/100 | (4) 6 | (5) 110.242 | (6) 29.0527 | (7) 0.00013654 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 80.814/100| (15)0 | (16) 1
Rank-34: (1) 22 | (2) 1507 | (3)1.45985/100 | (4) 2 | (5) 76.8257 | (6) 18.8747 | (7) 0.000140036 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.2326/100| (15)0 | (16) 1
Rank-80: (1) 22 | (2) 1509 | (3)1.45792/100 | (4) 2 | (5) 70.3888 | (6) 23.8694 | (7) 0.000138948 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 54.6512/100| (15)0 | (16) 1
Rank-181: (1) 15 | (2) 1597 | (3)0.939261/100 | (4) 6 | (5) 120.642 | (6) 23.8895 | (7) 0.000110775 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 83.7209/100| (15)0 | (16) 1
Rank-141: (1) 17 | (2) 1590 | (3)1.06918/100 | (4) 7 | (5) 124.656 | (6) 22.3841 | (7) 7.062e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 85.4651/100| (15)0 | (16) 1
Rank-117: (1) 22 | (2) 1500 | (3)1.46667/100 | (4) 2 | (5) 77.9088 | (6) 19.0889 | (7) 9.7721e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-197: (1) 9 | (2) 1610 | (3)0.559006/100 | (4) 6 | (5) 112.004 | (6) 27.7676 | (7) 7.8905e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.814/100| (15)0 | (16) 1
Rank-89: (1) 13 | (2) 1524 | (3)0.853018/100 | (4) 2 | (5) 73.0556 | (6) 21.6657 | (7) 3.4846e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 54.6512/100| (15)0 | (16) 1
Rank-451: (1) 3 | (2) 1634 | (3)0.183599/100 | (4) 5 | (5) 94.5601 | (6) 37.3119 | (7) 6.5608e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 76.1628/100| (15)0 | (16) 1
Rank-309: (1) 8 | (2) 1622 | (3)0.493218/100 | (4) 7 | (5) 100.499 | (6) 34.1874 | (7) 7.3247e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 77.907/100| (15)0 | (16) 1
Rank-879: (1) 11 | (2) 1627 | (3)0.676091/100 | (4) 6 | (5) 95.7487 | (6) 37.1832 | (7) 9.8324e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 76.7442/100| (15)0 | (16) 1
Rank-389: (1) 8 | (2) 1617 | (3)0.494743/100 | (4) 6 | (5) 107.379 | (6) 31.7272 | (7) 4.3438e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.814/100| (15)0 | (16) 1
Rank-772: (1) 18 | (2) 1600 | (3)1.125/100 | (4) 6 | (5) 116.265 | (6) 25.7236 | (7) 6.6986e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 81.9767/100| (15)0 | (16) 1
Rank-285: (1) 12 | (2) 1609 | (3)0.745805/100 | (4) 7 | (5) 114.163 | (6) 26.5596 | (7) 0.000134313 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.3953/100| (15)0 | (16) 1
Rank-491: (1) 8 | (2) 1619 | (3)0.494132/100 | (4) 6 | (5) 108.332 | (6) 29.4018 | (7) 2.8459e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 79.6512/100| (15)0 | (16) 1
Rank-676: (1) 18 | (2) 1592 | (3)1.13065/100 | (4) 7 | (5) 120.996 | (6) 23.9945 | (7) 9.9479e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 83.7209/100| (15)0 | (16) 1
Rank-234: (1) 12 | (2) 1619 | (3)0.741198/100 | (4) 6 | (5) 101.267 | (6) 34.0128 | (7) 4.9636e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 78.4884/100| (15)0 | (16) 1
Rank-802: (1) 15 | (2) 1584 | (3)0.94697/100 | (4) 7 | (5) 128.074 | (6) 20.2779 | (7) 0.000163245 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 86.0465/100| (15)0 | (16) 1
Rank-585: (1) 7 | (2) 1623 | (3)0.4313/100 | (4) 6 | (5) 106.863 | (6) 29.9227 | (7) 8.1163e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 79.0698/100| (15)0 | (16) 1
Rank-542: (1) 20 | (2) 1602 | (3)1.24844/100 | (4) 8 | (5) 112.839 | (6) 27.39 | (7) 6.1548e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.3953/100| (15)0 | (16) 1
Rank-339: (1) 26 | (2) 1567 | (3)1.65922/100 | (4) 6 | (5) 128.339 | (6) 20.3469 | (7) 5.7859e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 86.0465/100| (15)0 | (16) 1
Rank-265: (1) 13 | (2) 1605 | (3)0.809969/100 | (4) 6 | (5) 115.774 | (6) 26.6035 | (7) 4.5947e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 82.5581/100| (15)0 | (16) 1
Rank-418: (1) 5 | (2) 1624 | (3)0.307882/100 | (4) 6 | (5) 107.068 | (6) 31.6815 | (7) 9.9318e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.2326/100| (15)0 | (16) 1
Rank-621: (1) 5 | (2) 1639 | (3)0.305064/100 | (4) 4 | (5) 83.6753 | (6) 42.524 | (7) 5.6053e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 73.2558/100| (15)0 | (16) 1
Rank-508: (1) 22 | (2) 1590 | (3)1.38365/100 | (4) 7 | (5) 118.69 | (6) 24.745 | (7) 0.000147208 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 83.1395/100| (15)0 | (16) 1
Rank-728: (1) 23 | (2) 1578 | (3)1.45754/100 | (4) 7 | (5) 123.235 | (6) 22.7622 | (7) 0.000139478 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 84.3023/100| (15)0 | (16) 1
Rank-824: (1) 13 | (2) 1606 | (3)0.809465/100 | (4) 4 | (5) 108.24 | (6) 29.7554 | (7) 0.000101313 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 79.6512/100| (15)0 | (16) 1
Rank-649: (1) 5 | (2) 1630 | (3)0.306748/100 | (4) 5 | (5) 98.2642 | (6) 35.9202 | (7) 5.9826e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 77.907/100| (15)0 | (16) 1
Rank-589: (1) 19 | (2) 1583 | (3)1.20025/100 | (4) 7 | (5) 126.361 | (6) 21.0253 | (7) 5.7426e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 85.4651/100| (15)0 | (16) 1
Rank-712: (1) 12 | (2) 1603 | (3)0.748596/100 | (4) 7 | (5) 119.765 | (6) 23.893 | (7) 9.3421e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 83.1395/100| (15)0 | (16) 1
Rank-437: (1) 7 | (2) 1623 | (3)0.4313/100 | (4) 6 | (5) 107.203 | (6) 29.8806 | (7) 2.7543e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 79.6512/100| (15)0 | (16) 1
Rank-851: (1) 6 | (2) 1618 | (3)0.370828/100 | (4) 6 | (5) 109.318 | (6) 29.1132 | (7) 6.8935e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 80.2326/100| (15)0 | (16) 1
